Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_CURA_TestSuite_001,Chrome 120.0.0.0,,,27-01-2024 19:33:48,27-01-2024 19:47:33,13m - 44.711s,PASSED
,,,,,,,
Test Cases/Test Listener-1/TC_AppointmentConfirmation_001,Chrome 120.0.0.0,,,27-01-2024 19:34:25,27-01-2024 19:47:33,13m - 7.638s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,27-01-2024 19:34:26,27-01-2024 19:36:28,2m - 2.294s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,27-01-2024 19:36:28,27-01-2024 19:37:58,1m - 30.289s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,27-01-2024 19:37:58,27-01-2024 19:38:28,30.097s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/input_visit_date""))",Chrome 120.0.0.0,,,27-01-2024 19:38:28,27-01-2024 19:38:58,30.132s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/td_1""))",Chrome 120.0.0.0,,,27-01-2024 19:38:58,27-01-2024 19:39:29,30.149s,PASSED
"setText(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/textarea_comment""), ""Test Listner"")",Chrome 120.0.0.0,,,27-01-2024 19:39:29,27-01-2024 19:40:29,1m - 0.271s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,27-01-2024 19:40:29,27-01-2024 19:41:00,31.490s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,27-01-2024 19:41:00,27-01-2024 19:41:30,30.116s,PASSED
"click(findTestObject(""Object Repository/TL_Appointment Confirmation_OR/Page_CURA Healthcare Service/a_Logout""))",Chrome 120.0.0.0,,,27-01-2024 19:41:30,27-01-2024 19:42:02,31.697s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,27-01-2024 19:42:02,27-01-2024 19:47:33,5m - 30.991s,FAILED
